layer_id,layer_name,eval_set,n,macro_f1,micro_f1,macro_precision,macro_recall,subset_acc,wall_sec,f1_service,f1_food_quality,f1_hygiene,f1_price,f1_delivery,f1_portion,f1_ambience,f1_variety
L0,keyword,orig_100,100,0.8196,0.8466,0.7859,0.8922,0.43,0.0,0.9907,0.8302,0.7692,0.8364,0.5714,0.8525,0.9697,0.7368
L0,keyword,fresh_holdout_100,100,0.8335,0.8375,0.7866,0.9166,0.39,0.0,0.9895,0.7879,0.8571,0.9,0.5373,0.8077,0.9315,0.8571
L1,tfidf_lr,orig_100_oof,100,0.4834,0.6787,0.7231,0.441,0.23,1.73,0.7931,0.8235,0.0,0.303,0.3333,0.5641,0.8,0.25
L1,tfidf_lr,fresh_holdout_100,100,0.4859,0.6083,0.6626,0.4627,0.11,1.73,0.708,0.7007,0.0,0.2632,0.6,0.6316,0.6984,0.2857
L2,tfidf_lgbm_default,orig_100_oof,100,0.6509,0.7574,0.7367,0.6153,0.27,22.4,0.9811,0.85,0.4706,0.3043,0.3429,0.92,0.8,0.5385
L2,tfidf_lgbm_default,fresh_holdout_100,100,0.6566,0.7467,0.6955,0.6337,0.29,22.4,0.9247,0.8034,0.0,0.4444,0.9231,0.9302,0.7273,0.5
L3,tfidf_lgbm_tuned_t05,orig_100_oof,100,0.8132,0.8547,0.9111,0.7455,0.49,14.95,0.9905,0.8667,0.7,0.5652,0.7273,0.9388,0.871,0.8462
L3,tfidf_lgbm_tuned_t05,fresh_holdout_100,100,0.8525,0.8547,0.9213,0.7982,0.46,14.95,0.9451,0.8649,0.8276,0.6296,0.9231,0.9268,0.7937,0.9091
L4,tfidf_lgbm_tuned_perclass_thr,orig_100_oof,100,0.8181,0.8522,0.8912,0.7607,0.47,14.95,0.9811,0.8667,0.6957,0.5882,0.7273,0.9388,0.8667,0.88
L4,tfidf_lgbm_tuned_perclass_thr,fresh_holdout_100,100,0.8502,0.8458,0.8759,0.8328,0.43,14.95,0.9451,0.8649,0.8333,0.6061,0.9231,0.9268,0.7937,0.9091
L5,logreg_bce_perclass_thr,orig_100_oof,100,0.2074,0.5355,0.2849,0.2526,0.09,1.49,0.7786,0.7692,0.0,0.0,0.0,0.0,0.1111,0.0
L5,logreg_bce_perclass_thr,fresh_holdout_100,100,0.198,0.481,0.3922,0.2542,0.03,1.49,0.7317,0.7059,0.0,0.0,0.0,0.0909,0.0556,0.0
