trial,macro_f1_t05,f1_service,f1_food_quality,f1_hygiene,f1_price,f1_delivery,f1_portion,f1_ambience,f1_variety,num_boost_round,scale_pos_weight_mult,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l2
0,0.7898576188848745,0.9904761904761905,0.8666666666666667,0.631578947368421,0.409090909090909,0.7272727272727273,0.9387755102040816,0.8749999999999999,0.88,273,1.9454941407515438,19,0.0852084800119005,7,0.7724415914984484,0.7118273996694524,6,0.011381753614017375
1,0.7285039153557669,0.9811320754716981,0.8547008547008548,0.375,0.5365853658536585,0.5517241379310345,0.9199999999999999,0.888888888888889,0.7200000000000001,55,1.748929768321907,14,0.10716624725460688,6,0.7840222805469661,0.9627983191463305,1,0.00025669532886171703
2,0.7218807826160767,0.9904761904761905,0.8739495798319329,0.5555555555555556,0.3181818181818182,0.6666666666666667,0.9199999999999999,0.8787878787878787,0.5714285714285714,210,0.7150299311135696,25,0.13549145341210658,10,0.8995792821083618,0.7307396811264659,7,0.00035955719145209424
3,0.7115966135558166,0.9904761904761905,0.8666666666666667,0.47058823529411764,0.3888888888888889,0.5185185185185185,0.9199999999999999,0.8709677419354839,0.6666666666666666,54,1.4264532456138155,30,0.047746365667787276,5,0.6322778060523135,0.8871168447171083,4,0.04688717590011643
4,0.7268371561604645,0.9904761904761905,0.8717948717948718,0.5263157894736842,0.409090909090909,0.6111111111111113,0.9387755102040816,0.8307692307692308,0.6363636363636364,65,1.5001500731685016,21,0.0634818588756315,10,0.8409101495517417,0.679753950286893,4,0.18973526742395547
5,0.659741557913488,0.9904761904761905,0.8739495798319329,0.2666666666666667,0.25806451612903225,0.4166666666666667,0.9387755102040816,0.8666666666666666,0.6666666666666666,298,0.6530672161220421,22,0.01878079717563113,3,0.6577141754620919,0.6818553854713113,5,0.0115073508771816
6,0.6515095241576078,0.9904761904761905,0.8455284552845528,0.2666666666666667,0.24242424242424243,0.46153846153846156,0.9387755102040816,0.8666666666666666,0.6,77,1.4844943841979101,9,0.016213191836360573,7,0.626645801269891,0.7331553864281531,2,0.0005584615857299065
7,0.7484481292517007,0.9904761904761905,0.8666666666666667,0.375,0.4,0.7499999999999999,0.9387755102040816,0.8333333333333333,0.8333333333333333,295,1.2029768024715524,7,0.01802019761039029,5,0.9104966149239675,0.5485506378965306,7,0.0002828547890011667
8,0.7291888752651516,0.9904761904761905,0.8717948717948718,0.2666666666666667,0.42105263157894735,0.7096774193548387,0.9387755102040816,0.8524590163934426,0.782608695652174,79,0.976974769090964,31,0.0612240653567282,8,0.5195938961271603,0.6414034812882048,1,0.0024635075932458034
9,0.7222778374647763,0.9904761904761905,0.8429752066115703,0.375,0.3,0.7096774193548387,0.9387755102040816,0.8387096774193549,0.782608695652174,194,1.8939442963643212,15,0.01211874973417475,8,0.7833007271032876,0.6326947454697227,5,0.0002763272037342834
10,0.777403892289599,0.9904761904761905,0.8739495798319329,0.5555555555555556,0.4186046511627907,0.7096774193548387,0.9199999999999999,0.8709677419354839,0.88,238,1.9913528263800258,4,0.1875549745138358,2,0.964820177513915,0.8434624314393884,8,1.022300298395158
11,0.7776862061004235,0.9904761904761905,0.8595041322314049,0.5263157894736842,0.41025641025641024,0.7272727272727273,0.9387755102040816,0.888888888888889,0.88,244,1.9614432823740315,4,0.16334086185281602,2,0.9996074309726312,0.843820226588224,8,3.9861608527736854
12,0.7761371103444508,0.9904761904761905,0.8983050847457628,0.631578947368421,0.3636363636363636,0.7222222222222222,0.9387755102040816,0.8307692307692308,0.8333333333333333,250,1.7156269608023516,11,0.09619315213231429,4,0.9833889731679984,0.8053319758532294,8,2.8218279040113203
13,0.7400338277387457,0.9904761904761905,0.8688524590163934,0.5555555555555556,0.2857142857142857,0.6,0.9199999999999999,0.819672131147541,0.88,158,1.684366249196033,18,0.18733898652950295,2,0.5088003182083609,0.934276682378755,6,0.008251887630191154
14,0.7552194724502073,0.9904761904761905,0.8760330578512396,0.47058823529411764,0.43902439024390244,0.7058823529411765,0.9199999999999999,0.8571428571428571,0.782608695652174,140,1.9705549119875472,18,0.08643432040817477,8,0.6806341310686084,0.842431883746576,6,0.22949963208261584
15,0.7615762222575349,0.9904761904761905,0.8571428571428572,0.5555555555555556,0.4444444444444444,0.6206896551724138,0.9199999999999999,0.8709677419354839,0.8333333333333333,258,1.1843055067890693,25,0.03234713945665954,6,0.7167533763631022,0.7895363622830109,7,0.06665159868077919
16,0.7280484474491551,0.9904761904761905,0.8739495798319329,0.2666666666666667,0.3157894736842105,0.7333333333333334,0.9387755102040816,0.8253968253968255,0.88,268,1.766173068357686,13,0.03548236275494161,4,0.8551182031536763,0.5096061191414203,3,0.003472740415734692
17,0.8013537984248159,0.9904761904761905,0.8739495798319329,0.631578947368421,0.5714285714285714,0.6875,0.9387755102040816,0.8709677419354839,0.8461538461538461,214,1.581862754096038,5,0.11576049857008822,7,0.5873043034257636,0.9930007502218929,6,4.570221031498644
18,0.7718857229974033,0.9904761904761905,0.8376068376068376,0.5555555555555556,0.5714285714285714,0.6875,0.9199999999999999,0.8852459016393442,0.7272727272727273,213,1.588277579525235,21,0.0717808605876129,9,0.5670661903718911,0.9970111946088025,6,0.21132297585012327
19,0.7871119203143162,0.9904761904761905,0.8870967741935484,0.631578947368421,0.47826086956521735,0.7222222222222222,0.9387755102040816,0.8484848484848485,0.8,109,1.3568493342229782,9,0.11148463322365519,7,0.581498408706691,0.5850466942892222,5,0.9050248987388071
20,0.7564664387780058,0.9904761904761905,0.847457627118644,0.47058823529411764,0.5263157894736842,0.5925925925925926,0.9199999999999999,0.8709677419354839,0.8333333333333333,171,0.9849211657137933,16,0.04516963541121434,7,0.7347074548480841,0.9053577001331886,3,0.0014936822060569225
21,0.7856069412210136,0.9811320754716981,0.8925619834710743,0.6,0.5,0.7027027027027027,0.9387755102040816,0.8235294117647058,0.8461538461538461,118,1.337463304565736,7,0.12106226893585358,7,0.5844812444629658,0.5958051248466444,5,1.03153051966359
22,0.777454342004923,0.9904761904761905,0.8760330578512396,0.5263157894736842,0.4888888888888889,0.7222222222222222,0.9387755102040816,0.8307692307692308,0.8461538461538461,110,1.0623737645318017,11,0.13110843291381438,7,0.5600635110479205,0.5884090338455834,6,1.0364926143237465
23,0.7429030252011619,0.9904761904761905,0.8547008547008548,0.4444444444444444,0.5217391304347826,0.6666666666666667,0.9387755102040816,0.8307692307692308,0.6956521739130435,215,1.3332616964626212,7,0.07558611090842543,9,0.7038952610665966,0.6844910390471617,4,0.4908848144698127
24,0.764141395356151,0.9904761904761905,0.85,0.631578947368421,0.32432432432432434,0.6875,0.9387755102040816,0.8571428571428571,0.8333333333333333,276,1.6072874020410137,10,0.09536275800221011,6,0.7689339222655504,0.7593418260678698,5,0.029165556640168164
25,0.7565377273247726,0.9719626168224299,0.8852459016393444,0.5714285714285714,0.43478260869565216,0.6285714285714286,0.9387755102040816,0.8358208955223881,0.7857142857142857,193,1.8381591557588257,5,0.14552293352725068,5,0.6032684562246614,0.5061715331469361,7,2.118303583884835
26,0.7440301275130022,0.9904761904761905,0.8666666666666667,0.375,0.48,0.8125000000000001,0.9387755102040816,0.8524590163934426,0.6363636363636364,119,1.6116349079041663,8,0.05173550887711828,8,0.5446387301453817,0.5822999627945764,6,0.09809241721366936
27,0.7395278541938504,0.9904761904761905,0.864406779661017,0.5555555555555556,0.35000000000000003,0.7096774193548387,0.9387755102040816,0.8709677419354839,0.6363636363636364,228,0.7867151929405933,12,0.033596761370170244,9,0.8270727328342741,0.6374477471552451,3,0.014448720137469772
28,0.7611727999159645,0.9904761904761905,0.8595041322314049,0.631578947368421,0.35000000000000003,0.6285714285714286,0.9387755102040816,0.8571428571428571,0.8333333333333333,143,1.3355534455490583,17,0.11256410954683269,7,0.6542010162048806,0.705165625120468,5,0.49332693234045494
29,0.7648473201349915,0.9904761904761905,0.8571428571428572,0.5555555555555556,0.45,0.7647058823529413,0.9199999999999999,0.8852459016393442,0.6956521739130435,98,0.5105286634737011,14,0.08249597593964425,6,0.7468783104245402,0.9923761909569693,6,0.00011045187484806426
